gene,score
MT3,47.18019
SLN,41.4977
PTN,35.123283
S100B,33.563644
FABP5,32.191135
HOPX,28.615759
TTYH1,27.096083
AC092958.1,21.891785
DBI,21.628052
APLP2,21.546421
CLU,21.459171
MT2A,21.134602
CALM1,20.433409
COX6C,20.327213
PTPRZ1,19.574034
PEBP1,19.387033
TMSB4X,19.146992
ATP1B2,19.119785
COX5B,19.072727
SCG3,18.942406
SLC1A2,17.761627
LPL,17.543787
MT1X,17.513039
RPS7,17.461891
RPS4X,17.044508
A2M,17.010227
H3F3A,16.931547
METTL7B,16.861393
SERPINA3,16.768293
IDS,16.682318
SLC4A4,16.464802
IGFBP2,16.449812
CALB1,16.298483
COX7C,16.145786
SERPING1,15.983196
CDC42EP4,15.9492855
NPNT,15.925128
BEX3,15.634779
NNMT,15.575057
RPL4,15.471722
PKM,15.344229
FAM107A,14.8742
MIF,14.688835
SSR4,14.681942
KLHDC8A,14.628867
HTRA1,14.505147
NDUFC1,14.356442
SLC10A4,14.033299
SRP14,13.996102
SCD5,13.945846
CST3,13.727705
GPM6A,13.694578
HMGN3,13.561093
HS6ST1,13.548302
CSRP2,13.538429
SCG5,13.458833
PEG10,13.425506
NES,13.362807
TIMP1,13.362521
ELMOD1,13.359761
ZMYND8,13.209863
SLC1A3,13.1940365
UBL5,13.170873
CA11,13.036957
TUBA1B,12.944165
TPI1,12.864424
ITPRID2,12.846798
NENF,12.807748
SPARC,12.8063
RPS15A,12.704727
C1orf61,12.6756115
SRI,12.663073
SV2B,12.606996
CD63,12.6018505
COL23A1,12.534794
PPIA,12.525902
EEF1A1,12.501748
SERF2,12.466803
SCG2,12.288946
CORO2B,12.287242
PLA2G5,12.247382
TUBA1A,12.193253
OST4,12.14617
UQCRQ,12.140304
TUBB2A,12.079972
SNHG25,12.059573
LONRF2,12.058277
UQCR10,12.055466
PARK7,12.013199
ZNF436,11.98691
PDLIM4,11.928897
GPC1,11.920541
TUBB2B,11.877171
PDIA6,11.811079
PCBP2,11.671478
VIM,11.6638565
COX6A1,11.639604
GATM,11.632002
RPL31,11.628308
CKB,11.61601
SDC3,11.5461445
NDUFA1,11.526336
GNG5,11.486579
ELOVL2,11.430371
OCIAD2,11.40486
PFN2,11.365137
CLSTN1,11.352259
RPLP0,11.301993
FGF1,11.296066
RPL37,11.0955715
ACSS3,10.996179
GPM6B,10.862135
NDUFB1,10.85443
TBCA,10.685668
SOD1,10.662291
RPL30,10.662113
CALM2,10.6376295
GNAS,10.576157
NDRG4,10.557264
POU3F4,10.503334
ELOB,10.448658
LTBP3,10.417071
PRDX4,10.352258
ACTB,10.295722
RBP1,10.284119
COX20,10.255523
CXCL14,10.2407255
ATP5F1E,10.191715
ITM2B,10.188277
RPL34,10.163593
MRPL57,10.137503
MSI2,10.133826
TOMM7,10.131945
RPS23,10.128585
ATP5MF,10.054512
UNC5D,10.029484
SH3BGRL3,9.981304
RPL19,9.949141
ITGB8,9.9154215
TMSB10,9.899305
OXTR,9.874981
MLC1,9.87488
FAM181B,9.853539
CNR1,9.77577
CHRNA9,9.755883
RPS18,9.747613
PPIB,9.69453
CCND2,9.691543
YWHAE,9.68835
ITGB1BP1,9.665077
ATP5MC3,9.514254
LGALS3BP,9.410287
CDK2AP1,9.405846
COTL1,9.399051
CYSTM1,9.38275
S100A16,9.307704
YWHAQ,9.305509
TMEM158,9.302182
RPL5,9.28962
SREBF1,9.225477
TTYH3,9.203722
GATB,9.185361
EEF2K,9.173376
UCHL1,9.14451
MZT2B,9.141235
C19orf53,9.128833
RPL6,9.124112
METTL7A,9.113034
RPS8,9.10193
RPL41,9.060384
NDUFA7,9.036367
PDCD6,9.035605
SF3B6,9.032305
RPS15,9.030661
CHCHD2,9.003398
RTN4,8.991059
ACP6,8.961005
COX6B1,8.948108
CARD16,8.921247
SRPX2,8.908098
PON2,8.90496
RCAN1,8.894105
BAALC-AS2,8.884301
POU3F3,8.855053
PRCP,8.832603
RPL36A,8.819792
POLR2J,8.777539
NME4,8.7751045
RPL37A,8.769498
POLR2L,8.740582
ENO1,8.692469
SFXN5,8.680999
CCND3,8.674938
NAA38,8.636012
CNN3,8.607683
ATP5IF1,8.596735
SLAIN1,8.576875
ATP6V0E2,8.57351
PCSK1N,8.545797
FAU,8.543305
LZTS1,8.526611
SNRPG,8.524389
IL6ST,8.484343
NDUFA3,8.468276
CAVIN3,8.446248
RPL23A,8.443513
PRDX2,8.4172735
NLGN3,8.396388
ACSL3,8.393384
ATP5MD,8.36072
RPL27A,8.3439245
MYBPC1,8.3410425
RFFL,8.337062
DNAH9,8.326167
ATOX1,8.321244
CTSA,8.320006
SCARA3,8.319733
DPYSL3,8.31727
BLOC1S1,8.315488
PMP2,8.280938
PLAAT3,8.273713
GSTP1,8.255067
SLC37A4,8.190418
CD151,8.179128
COA6,8.166664
TRIB2,8.158759
BAMBI,8.157287
SPRY2,8.131425
SERPINF1,8.127615
GAPDH,8.117908
PSRC1,8.108114
NDUFA13,8.0575075
CROT,8.038987
TRIO,8.035614
UQCR11,8.034577
HIF3A,8.021872
DPY19L1,7.9734054
IFITM2,7.9431977
LPCAT1,7.92936
SUMO2,7.917989
SDK1,7.9076
EFEMP2,7.906079
HINT1,7.8683844
TXNDC17,7.866041
MTMR11,7.8484063
UBE2E3,7.8389006
CAPN5,7.8229494
CHPT1,7.8147707
COX7B,7.8120646
IMMP1L,7.7898507
RASSF2,7.777066
NDUFA2,7.769903
CPE,7.7572894
NDUFS5,7.7517996
PPP1CB,7.750063
BEX4,7.6946106
TRMT112,7.684175
TOMM6,7.6816773
CANX,7.6808114
LAMTOR5,7.679382
ECI2,7.6257463
PPFIA2,7.5913987
GNPTG,7.4912696
LMO2,7.4824476
ROMO1,7.474418
GABARAPL2,7.4541564
GLRA2,7.444568
LRATD2,7.3996315
SCD,7.3940687
TMED10,7.3858004
ERH,7.3719873
RAN,7.3667364
RHOBTB3,7.3637075
ADAM9,7.334312
DBX2,7.3307657
GAS7,7.292822
NELFCD,7.236842
KIF1B,7.224094
ALDH7A1,7.2019157
COLGALT2,7.1769075
TMA7,7.1765585
NKAIN4,7.175195
CFI,7.1625166
MEIS1,7.1593504
