gene,score
GAPDH,25.06531
MT1X,24.282793
VEGFA,24.10948
PGK1,22.733873
ENO1,22.709791
IGFBP5,22.559752
MT3,22.172688
SREBF1,21.838072
ADM,20.52549
HILPDA,20.158495
SLC2A1,19.37346
EEF1A1,19.348629
ENO2,19.24436
IGFBP2,18.380577
NRN1,18.153288
LDHA,16.983526
MIF,16.742846
CEBPD,16.699053
JUN,16.390858
UBC,16.269844
RPL41,16.163177
RPS4X,15.938193
INSIG2,15.793935
TPI1,15.67984
RPS27A,15.626283
FOS,15.370386
BNIP3,15.150674
ZNF395,14.889565
NDRG1,14.834091
NOL3,14.810068
RPL30,14.685908
VMP1,14.648167
RPL18,14.621628
RPL9,14.575079
RPL34,14.463651
SLN,14.434655
GPI,14.415784
RPL5,14.33401
WSB1,14.317715
FAM162A,14.217279
EIF1,14.092371
AK4,14.054869
SLC2A3,14.04148
RPL10,14.023028
RPL36,13.910821
JUND,13.777346
WEE1,13.564373
FTL,13.498505
RPL11,13.366827
RPL37A,13.358021
RPS18,13.337862
MIR210HG,13.257316
BNIP3L,13.099937
MT2A,13.0746565
ERRFI1,13.053389
CADM1,13.0263405
IRS2,12.962778
RPS25,12.950827
RPS15A,12.894453
YBX3,12.846797
DDIT3,12.729946
SMIM3,12.64326
DNAJB1,12.351658
RPS23,12.326736
ANGPTL4,12.093934
TF,12.072786
CHRNA9,12.023812
TOMM20,12.020667
RPS7,12.001556
TOMM7,11.94659
TRIO,11.801674
HSD17B14,11.616319
CA12,11.49237
RPS15,11.325376
RPS3A,11.325376
RPL19,11.234586
PNMA2,11.193339
ACTG1,11.189055
PANTR1,11.163835
FAU,11.163026
BHLHE40,11.145323
RPL26,10.979198
C1QTNF1,10.868399
NEAT1,10.805166
C1orf61,10.80283
OBSL1,10.778148
LMO1,10.762751
BHLHE41,10.742802
LTBP3,10.675196
XIST,10.664562
AC097534.2,10.611544
NUMA1,10.461924
RPL31,10.384553
VIM,10.2266655
PPP1R15A,10.180686
STC2,10.145969
P4HA1,10.125661
GADD45A,10.044156
APOE,9.99578
ZFAS1,9.925059
RPS14,9.910591
JUNB,9.888725
RPS5,9.8526
HAP1,9.838253
PKD1,9.836395
RPS13,9.809946
CD9,9.801768
BTG1,9.725716
NACA,9.67102
ELMOD1,9.667456
ITPRID2,9.615246
HNRNPU,9.612639
RPL4,9.609075
RPL13,9.591552
SLC16A3,9.580619
GLUL,9.56687
PFKFB4,9.52766
RPL24,9.447653
RPS27,9.401434
FTH1,9.398679
KDM3A,9.378369
DDT,9.362854
KLHL21,9.355605
CBFB,9.292253
BCAT2,9.273261
RPL32,9.132837
AC092958.1,9.110521
RPS21,9.023056
PFKP,9.020091
NAMPT,9.005652
RPS26,8.995258
CKB,8.977646
GADD45B,8.967042
PJA2,8.966563
USP11,8.962579
DDIT4,8.9510765
COX7C,8.927293
RPS8,8.9214525
SNHG6,8.910819
RACK1,8.904079
DUSP4,8.900575
RPS28,8.877061
GAS5,8.855314
SCARB1,8.833747
C4orf3,8.820658
MSI2,8.806069
FEM1C,8.785761
SCD,8.751853
CCN1,8.744334
TCIM,8.6953
SLC1A3,8.677747
PFDN5,8.654083
SLC6A8,8.641533
EGR1,8.617629
GRB10,8.524023
HIF3A,8.516385
PKM,8.508507
RPL39,8.508507
MAF,8.410857
PPFIA4,8.375631
TECR,8.360564
TBCA,8.347505
SPAG4,8.331389
RPS3,8.317401
RPL36A,8.314046
CCND2,8.308206
COMMD6,8.210196
MIR100HG,8.208518
ALDOA,8.188989
