gene,score
HBB,19.062841
HBA2,18.912455
MT-ND3,17.492022
MT-ND4,17.432064
VIM,17.361034
MT1E,16.3678
MT-ND2,16.139874
VEGFA,16.060005
RPL32,16.037924
MT1M,15.716024
FTH1,15.503574
HBA1,15.495916
MT-ATP6,15.217956
LGALS3,15.079822
PTGDS,14.898833
RPL14,14.721578
MT-ND5,14.687499
RPS6,14.262087
DKK1,13.986137
MALAT1,13.789832
SRPX,13.625405
RPS24,13.264098
RPL29,12.595603
RPL26,12.574256
EEF1A1,12.51082
RPS8,12.335416
NEAT1,12.272842
RPL13A,11.933553
MT1G,11.926629
RPL21,11.904771
ADM,11.86881
GPX3,11.842261
GAPDH,11.827072
RPS12,11.816415
GAP43,11.796919
FTL,11.764594
SERPINE2,11.639224
FABP7,11.577894
AKAP12,11.51446
RPL41,11.50428
RACK1,11.3246
RPL35A,11.27396
RPS29,11.255198
PGK1,11.108576
RPL12,11.048874
RPL24,10.954295
MT-CO1,10.897848
TPT1,10.842422
BNIP3,10.773211
CRYAB,10.675729
RPL17,10.631566
MT-CO3,10.5920315
ENO1,10.486381
AZGP1,10.483444
RPS3A,10.454535
TF,10.368317
ZFAS1,10.355936
RPS27,10.264452
MT-CYB,10.133497
CHI3L1,10.09693
PLEKHA4,9.987673
PTMA,9.986525
MT-ND4L,9.979441
ANP32B,9.881479
RPL35,9.765235
MT1X,9.748099
SPP1,9.635812
CA12,9.603456
RPL23A,9.595925
RPL37A,9.559517
CD44,9.486349
RPS18,9.472565
RPL7A,9.471225
CTSB,9.388261
NTRK2,9.377443
RPL30,9.307499
MT-ND1,9.214452
RPL9,9.157462
IRS2,9.129478
RPL34,9.113109
SOX2-OT,9.027752
RPS19,8.938917
SNHG29,8.93863
RPL39,8.817056
RPSA,8.799825
PLIN2,8.687569
MTRNR2L12,8.674294
ACTG1,8.653841
RPL38,8.644811
RPL13,8.625251
FAM107A,8.62474
IGFBP5,8.591491
EIF5B,8.493275
NSA2,8.463025
PABPC1,8.435615
RPL11,8.428882
RPS25,8.249776
MT1F,8.197445
SEC62,8.126064
TNC,7.9973755
PFKP,7.991185
NCL,7.9902916
SLC2A1,7.884194
RAB13,7.7660666
NPTX2,7.681539
METAP2,7.6782207
GJA1,7.661213
GLUL,7.60483
RPS14,7.5644326
SOX2,7.53313
CTSL,7.4800973
CXCL14,7.478597
NAP1L1,7.4743853
ABCA1,7.454059
MT-CO2,7.4379773
RPL18A,7.3750525
ENO2,7.3545346
LDHA,7.232993
RPL15,7.093614
HSP90AA1,7.005609
YBX3,6.9657545
EIF4A2,6.9657545
NACA,6.905255
TPI1,6.896416
GOLGA4,6.8198023
ARL6IP5,6.818079
SET,6.7832346
RPL7,6.65713
RPL37,6.654194
FXYD1,6.6478443
RPS13,6.5799737
SOD2,6.5772614
CDH2,6.5729218
PMP2,6.534439
RPS26,6.5287275
RPL3,6.502881
MARCKS,6.4656754
SNHG6,6.464239
RPS20,6.453518
NUPR1,6.4037395
RPL36,6.369342
ITPKB,6.3087783
AQP4,6.262191
EEF1B2,6.2201986
GAS5,6.2185073
GBE1,6.180312
NPM1,6.1718884
