gene,score
APOD,33.32421
CD74,26.184687
MGP,26.020315
COL1A1,22.645182
APOE,21.91532
DCN,21.19909
COL3A1,19.250885
HLA-DRA,19.19915
C1QA,19.161947
HLA-B,18.80781
IGFBP7,18.730532
VWF,18.61812
FN1,18.048923
HLA-DRB1,17.412561
ISLR,17.322668
COL1A2,17.167599
TIMP1,16.326176
APOC1,16.26651
IGKC,16.245087
COL18A1,15.982204
IFI6,15.463251
PRELP,15.429755
ENG,15.081924
CTSD,14.954124
POSTN,14.737008
MYL9,14.120197
C1QB,13.759606
SERPING1,13.60415
VWA1,13.298487
MXRA8,13.192528
IGFBP4,13.168358
TAGLN,13.141022
C3,13.066186
SERPINA3,12.83497
LAMC3,12.650201
HLA-DPA1,12.547027
CSF1R,12.412293
HLA-A,12.163574
NES,11.939574
AEBP1,11.916408
CD81,11.848034
LUM,11.69843
SELENON,11.674274
HSPG2,11.368529
GGT5,11.351247
EMILIN1,11.188444
HLA-DPB1,10.875482
MALAT1,10.614644
IGHG3,10.5895
CHPF,10.405762
COL6A2,10.198827
MFGE8,10.160848
BGN,10.135111
CD14,10.031777
EGFL7,9.9373
IGFBP2,9.78726
LTBP2,9.734242
HLA-DQB1,9.6092205
CYBA,9.555376
GRN,9.510041
HLA-DMA,9.3264675
ADAMTS14,9.323515
LAPTM5,9.227732
CLDN5,9.205267
NBL1,9.169482
SEC61A1,9.117168
TYMP,9.107616
SPARC,9.088248
PLD3,8.976819
ATP6V0B,8.773853
CTSB,8.71463
PLEC,8.587448
FBLN2,8.533464
QSOX1,8.44314
CCL14,8.439013
STRA6,8.385585
B2M,8.368772
C1QC,8.353677
LYZ,8.131428
ADGRB1,8.092196
CALR,8.080847
LGALS1,8.07095
PLD4,7.99297
MICALL2,7.9523726
COL4A2,7.800388
HLA-DQA1,7.8001947
HTRA3,7.7939553
FLNA,7.787352
ID3,7.776967
LRP1,7.7205462
NME3,7.5914187
GFAP,7.5614023
CYP1B1,7.524318
DPP7,7.4854503
SFRP4,7.445216
THY1,7.4311733
PLVAP,7.3674393
TREM2,7.364342
GPC1,7.3516097
IGHG1,7.3483915
SPON2,7.334658
TNXB,7.225125
SELENOM,7.208114
CFH,7.180376
CYBC1,7.1672773
HLA-C,7.157272
LAMB2,7.089784
TXNIP,7.081206
NPDC1,7.0711966
VSIR,7.0558987
SELPLG,7.032748
BST2,7.0197473
SLCO2B1,7.015788
FBLN1,7.0036383
RNPEPL1,6.945688
HLA-DMB,6.922862
TNFRSF12A,6.921584
NNMT,6.9124374
METTL7B,6.8773274
BCAN,6.869728
PLXDC2,6.864951
SIL1,6.861375
NAGLU,6.8384743
LTBP4,6.816095
ARHGAP45,6.815311
IGFBP6,6.735793
LY6E,6.735787
LGALS3BP,6.721647
COL4A1,6.655727
MAN2B1,6.628598
TCN2,6.6044493
HLA-E,6.6026306
SYNGR2,6.587513
PARP10,6.576691
FCGBP,6.571258
CLCN7,6.5244327
TYROBP,6.4443126
KIAA1755,6.439601
PIEZO1,6.390086
TGFBR2,6.3720684
HOMER3,6.370173
CORO1A,6.356161
PCSK1N,6.337938
MAN1B1,6.3250775
MTRNR2L8,6.320844
THBS1,6.288765
IGFBP5,6.2860374
MMP14,6.275313
EVA1B,6.2241774
SERF2,6.188991
SERPINF1,6.169163
COL6A1,6.163559
B3GAT3,6.1570826
MBD3,6.1488976
TP53I13,6.137196
MXD4,6.1136847
PTMS,6.0832253
SLC38A10,6.0792913
ZBTB20,6.0782847
TRPM2,6.019128
SCAND1,5.9959054
IL10RA,5.973262
ARHGAP4,5.955573
KIAA0930,5.933854
PDGFRB,5.9170804
LIMD2,5.8558283
TIMP2,5.855733
CORO7,5.8397136
