gene,score
HLA-B,35.664486
CD74,25.422066
BCAN,24.684013
APOD,24.645185
MXRA8,24.022007
DCN,22.887917
SLC44A2,22.728209
TIMP2,22.334433
GPR37L1,21.920853
MLC1,21.807281
DKK3,21.563435
NDRG2,21.553085
ATP1A2,21.55177
NAT8L,20.80252
PRELP,20.687822
ISLR,20.67301
ADGRB1,20.650038
HLA-DRA,20.641144
LHFPL6,20.626595
ID3,20.066347
FXYD1,19.922901
COL8A1,19.550182
MGP,19.343534
CD81,19.09636
RNASE1,18.84947
DDR1,18.22662
ANK2,18.153065
PCSK1N,17.803862
AIF1L,17.537542
VWF,17.345118
IFI27,17.211592
SELENOP,16.875183
SEC14L1,16.788515
IGFBP4,16.658236
PLP1,16.575748
C1QA,16.32019
SPOCK1,16.212526
LRRC8A,16.167187
ENG,15.6709385
HLA-A,15.584063
B2M,15.377113
TRAF4,15.245796
TRIL,15.188785
LRP1,15.115783
CHPF,14.937291
METRN,14.8742075
SAT1,14.720033
TIMP3,14.388261
LGI4,14.216706
HLA-DPB1,13.941799
NPDC1,13.878657
PLTP,13.816988
CPE,13.780033
GRIK3,13.7157
LAMC3,13.626293
SPARC,13.590112
HLA-DRB1,13.532382
MMP2,13.488903
PTMS,13.433526
LUM,13.392397
CPXM1,13.350888
TSPAN7,13.322313
PDGFRB,12.9813595
TLE5,12.904037
CCL14,12.806743
APOE,12.782081
OLIG1,12.74609
LFNG,12.656653
ADGRG1,12.617024
CFH,12.58254
FN1,12.567663
MT1M,12.567083
HLA-C,12.564679
RAB31,12.514251
CCN2,12.379176
CKB,12.306279
TLCD1,12.265698
RASSF4,12.20043
MFGE8,12.140879
VWA1,12.138429
AEBP1,12.124005
FBLN2,12.117159
LTBP2,12.078903
LMO2,11.9981785
IL11RA,11.994583
MYL9,11.924219
GGT5,11.918885
GRINA,11.899431
C3,11.884593
COL9A3,11.850669
S100A13,11.779542
PHLDB1,11.722591
HSPG2,11.549344
COL1A1,11.510801
MBOAT2,11.489875
SPRY4,11.484276
HLA-DQB1,11.454747
S100B,11.286574
RAMP1,11.285994
COL3A1,11.204821
APC2,11.183336
HLA-E,11.159315
COL1A2,11.157567
LGR6,11.145583
LRP4,11.042137
HOMER3,10.960856
NACC2,10.95653
CHL1,10.950587
ERBB3,10.949797
LTBP4,10.916078
EGFL7,10.91244
IFI6,10.853482
KIAA1755,10.821422
CSF1R,10.734992
THRA,10.687942
NBL1,10.671688
B4GALNT4,10.658174
CRIP2,10.582701
SEC11C,10.517119
LAMB2,10.484825
TXNIP,10.416938
C1QB,10.338638
PRCP,10.332004
RAB34,10.304806
SPTBN1,10.299156
SDC3,10.253703
SLC4A4,10.2193165
TAFA3,10.205578
PSAP,10.124338
ADCYAP1R1,10.113529
EPHX1,10.111336
PXDN,10.098158
MARCKSL1,10.066106
WSCD1,10.054218
TAGLN,10.028139
TSC22D3,9.970325
YPEL3,9.939864
HIP1R,9.908081
CHADL,9.883464
TCF4,9.880258
NAXE,9.879086
DDX5,9.819628
VSIR,9.703193
LAPTM5,9.69093
COL9A2,9.625492
KCNJ10,9.599386
TFCP2L1,9.575581
GABRB2,9.57465
QSOX1,9.556996
AL163636.1,9.402605
NIPAL3,9.392368
SLCO1C1,9.38267
PAPLN,9.334107
GTF2I,9.300415
MICALL2,9.26464
CIRBP,9.198812
FSCN1,9.122031
FCGBP,9.109193
HLA-DPA1,9.069428
NR2F2,9.041642
CYBA,9.021997
PHYHD1,8.998612
SLC27A1,8.997284
SCG3,8.956689
CYP1B1,8.940785
MRC2,8.912665
KCTD12,8.901235
MIA,8.898667
GSN,8.89466
MYH9,8.889398
CSPG5,8.888818
PECAM1,8.884225
XRCC1,8.865017
SLCO2B1,8.8560095
SPON2,8.838306
CLDN5,8.825444
ITGAV,8.810963
MDFI,8.801974
PDE4B,8.77932
NUP214,8.744867
CD59,8.717257
GNG11,8.715167
ATP6V0B,8.695997
EDNRB,8.6945715
ANTXR1,8.663767
AKT2,8.61127
STRA6,8.611092
ITM2C,8.604859
GNG7,8.595201
PLXDC2,8.594473
MXD4,8.556862
AHCYL2,8.556052
FAIM2,8.547199
LIFR,8.530192
ADIRF,8.525472
THBS1,8.470573
ELN,8.461017
PIK3IP1,8.400102
TGFBR2,8.399817
LRP10,8.378238
TBX2,8.359519
IGSF3,8.306233
TNXB,8.289798
FXYD5,8.287444
ID1,8.278011
FHL1,8.270619
STAB1,8.248455
TNS2,8.226848
PIK3C2A,8.173638
COL18A1,8.17068
OLIG2,8.158785
ETV5,8.154677
FMOD,8.154574
SFRP4,8.151321
SEPTIN8,8.142659
HLA-DMB,8.100592
IGKC,8.100092
NAGLU,8.093313
ZFAND5,7.9951158
TSC22D4,7.9912868
BCR,7.965406
LYZ,7.927292
NUPR1,7.855863
CD163,7.8525047
ZNF483,7.851294
KLC1,7.8055797
CRIP1,7.7875843
ADORA1,7.7804947
ADD1,7.766385
STAT2,7.7503195
RHBDD2,7.7305393
STRIP2,7.7240953
GPCPD1,7.717128
NLGN3,7.711847
MTRNR2L8,7.7023335
FIBIN,7.7017555
LCAT,7.700366
CLDN11,7.695748
METTL7A,7.6914864
NAP1L4,7.6704907
FLOT2,7.670455
LDLRAD3,7.667369
CERS1,7.6481695
CALN1,7.646667
GPRC5B,7.643036
NOTCH1,7.6195416
PTPRA,7.619313
DGKZ,7.596785
SEMA5A,7.5934
SERPINF1,7.5817986
TNR,7.5730796
KCNF1,7.555888
ARHGAP45,7.5377116
CLSTN1,7.530157
MARCKS,7.519573
COL16A1,7.515051
SLC15A2,7.4829354
TLE2,7.48109
MAP2,7.4806857
CADM4,7.455479
MGAT1,7.442919
HEPACAM,7.432838
DDAH1,7.425935
LTBR,7.423038
FBN1,7.403919
SELENOW,7.3971925
SEMA3B,7.394548
EMILIN1,7.393535
FBLN1,7.385358
FBXW5,7.370815
MYO15B,7.329465
SHC2,7.326429
DDX17,7.307341
EMC10,7.299662
SELENBP1,7.2841225
