gene,score
FABP7,47.892582
SCD5,46.494904
TSPAN7,40.413845
ITM2C,38.625412
SLC1A3,37.631702
GJA1,37.52636
RAMP1,37.220097
PTGDS,37.07172
ITGAV,35.596115
SERPINE2,34.909264
HOPX,34.033276
GRIA1,31.853537
AQP4,31.853039
LRRC8A,31.794516
GPM6B,31.387342
FXYD1,31.337244
SRPX,31.291338
TMOD1,30.767372
PTPRZ1,30.558071
GPR137B,30.419239
KCNJ16,30.173172
MLC1,29.859295
ALDH1L1,29.790806
SLC1A2,29.587673
C1orf61,29.47906
PAQR8,29.137304
GPR37L1,28.736525
SLC6A1,28.685135
CSRP1,28.334772
METTL7A,28.282171
FYN,28.053137
CD81,28.046076
ABAT,27.981527
SDC3,27.858448
CPE,27.747322
SPARCL1,27.682333
TSC22D4,27.635092
GPM6A,27.53778
QKI,27.278187
RTN1,27.261332
GPRC5B,27.148901
AHCYL1,27.103142
GFAP,26.909456
COL8A1,26.784914
GABBR1,26.657038
CNP,26.610062
HTRA1,26.305252
AMER2,26.025133
PON2,25.744093
FAM107A,25.695814
CSPG5,25.616268
CKB,25.59487
LIFR,25.434385
PLEKHB1,25.319353
METRN,25.036793
EDNRB,25.015938
LRP1,24.790146
ALDOC,24.748987
LRIG1,24.26097
KCNJ10,24.116827
RPH3A,23.886385
SEC14L1,23.736065
ITGB4,23.496454
CDH2,23.369978
GTF2I,23.31954
AIF1L,23.18533
BAALC,22.987013
HEPACAM,22.852802
ROBO2,22.704008
LGR6,22.55428
ENHO,22.47346
SCG3,22.38154
SOX2-OT,22.222977
SLC20A2,22.180315
NCAM1,22.136087
RGCC,21.859592
MARCKS,21.808811
NLGN3,21.675
FGFR3,21.531199
PHYHIPL,21.50663
DDR1,21.343195
NTRK2,21.25874
MEGF9,21.255692
PLXNB1,20.71985
DTNA,20.687696
CST3,20.62232
AZGP1,20.529163
OLFM2,20.456125
GATM,20.36195
NDRG2,20.261705
GPR37,20.23418
SLC15A2,20.187738
SOX9,20.105965
SCRG1,20.030762
CHST7,19.976202
LGI4,19.97254
ATP1A2,19.967749
OLIG1,19.9438
CTSF,19.767109
PLTP,19.6792
ATP13A4,19.637926
MT1F,19.622679
B3GAT1,19.577442
NAT8L,19.480175
SOX2,19.450352
TIMP4,19.347406
MATN2,19.306026
KAT2B,19.282963
GLUL,19.248587
DAG1,19.204643
FXYD6,19.172462
DIPK1C,19.168858
ITM2B,18.917398
PSAT1,18.901323
PLPP3,18.746784
KLHDC8A,18.721773
VAT1L,18.697916
ZFYVE21,18.613272
DKK3,18.451033
PHLPP1,18.394316
GABARAPL2,18.337843
MT1E,18.276209
SEC11C,18.272963
GNG7,18.230993
RASSF4,18.194328
ARHGEF26,18.122957
GRINA,17.987028
PRNP,17.95951
PODXL,17.863903
ETV1,17.802427
MT1M,17.780418
P2RY1,17.735704
MAGED1,17.655983
PRXL2A,17.654642
HIP1R,17.642187
RHOB,17.507854
NACC2,17.485498
DPYSL2,17.413502
CTNND2,17.383535
CNTN2,17.195457
MT-CYB,17.050442
ID4,17.046587
MT-ATP6,17.016685
ITGB5,16.966284
SEPTIN8,16.948143
MPC1,16.88507
CRB2,16.70916
PAPLN,16.678526
TTYH1,16.677776
LUZP2,16.661737
TUBB2B,16.615835
HEY1,16.533934
TSPAN3,16.387718
GOLM1,16.383526
OMG,16.31963
ARHGAP31,16.246626
SLC27A1,16.203957
PDE4B,16.168045
SLC6A9,16.166914
CERS1,16.114777
SEPTIN2,16.07807
IL17D,16.053041
ATP5F1A,16.017368
RFX4,15.973839
CDIP1,15.885455
PREX1,15.86997
