gene,score
FTH1,23.657436
CRYAB,23.627829
LGALS3,23.497906
GLUL,23.258083
PLIN2,23.119736
VIM,22.53611
CCN1,22.483625
RPL14,22.109863
EIF1,21.96799
DKK1,21.763521
ADM,21.756649
EEF1A1,21.653973
RPL17,21.604063
PPP1R15A,21.502937
SOD2,21.46258
CCN2,21.40019
RPL32,20.982191
MALAT1,20.675116
NFKBIA,20.504835
VMP1,20.480515
GADD45A,20.395111
HSPA1B,20.083065
TPT1,19.920927
RPL24,19.861288
PTX3,19.659216
CITED2,19.569334
BHLHE40,19.473145
RPL41,19.448013
SERPINE1,19.414
RPL35A,19.382769
RPL21,19.312803
TCIM,19.299622
RACK1,19.200117
AKAP12,19.112175
CEBPB,18.961563
KLF6,18.738623
MYC,18.71395
MT1E,18.685928
RPL26,18.48759
DNAJB1,18.410116
C11orf96,18.356047
VEGFA,18.355942
UPP1,18.321753
RPS8,18.279137
ACTG1,18.20607
CXCL3,18.129934
RPS6,18.033287
MT1X,18.01457
RPL13A,17.947811
UBC,17.89434
RPL29,17.725506
ZFAS1,17.626356
RPL12,17.58797
RPS29,17.568268
RPS12,17.540422
NEFL,17.488186
FBXO32,17.328339
ATF4,17.306273
FTL,17.28139
SLC3A2,17.252132
IRS2,17.190838
TCEAL9,17.169056
RPL34,17.16271
WEE1,17.134478
NACA,16.99673
CHI3L1,16.924755
HSP90AA1,16.847528
RPL37,16.837448
MIF,16.752325
CD44,16.673124
RND3,16.65536
RPL9,16.596954
GBE1,16.547855
NEAT1,16.53291
HSPA1A,16.479475
HSP90AB1,16.269188
EGR1,16.146845
CEBPD,15.922988
RPS3A,15.894438
ANXA1,15.854784
RPS14,15.836985
RPL7A,15.767159
CXCL8,15.759933
PGK1,15.724051
SLC2A1,15.668502
PTGDS,15.655848
MT2A,15.588173
GAP43,15.57848
DUSP4,15.562231
RPS27,15.537628
RPS18,15.5260315
FAM102A,15.433331
RPSA,15.404393
RPL13,15.397731
GAPDH,15.39336
BNIP3,15.332135
CTSB,15.220436
MAFF,15.190688
RPS19,15.183639
SEC62,15.10701
HILPDA,15.083606
CAV1,15.075957
ARL4C,14.991681
EIF4A2,14.78358
KMT2E-AS1,14.744455
RPL37A,14.738569
RPL39,14.684781
YBX3,14.683054
MCL1,14.585419
SLC2A3,14.550947
RPL18A,14.451303
RPS24,14.444641
NPM1,14.387469
TPM4,14.298118
FLNC,14.268263
ENO2,14.232803
RPS5,14.21874
AC103591.3,14.203125
NUPR1,14.187264
GAS5,14.148633
RPL35,14.028581
RPS25,13.980926
GADD45B,13.922662
PABPC1,13.913357
ERO1A,13.862777
JUN,13.73793
MT1G,13.729435
RPL10,13.680935
EIF1B,13.502266
RPL38,13.497578
JUNB,13.421056
HBA2,13.334947
HBB,13.315596
RPL15,13.314714
