Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.7177415031437667,2.630346148726561,0.0,0.0,0.0,93/197,6.90%,CCN1;EIF1;PPP1R15A;SOD2;NFKBIA;GADD45A;PTX3;BHLHE40;SERPINE1;CEBPB;KLF6;MYC;VEGFA;CXCL3;IRS2;CD44;EGR1;CEBPD;DUSP4;MAFF;MCL1;SLC2A3;GADD45B;JUN;JUNB;LITAF;CXCL2;NAMPT;BTG1;SPSB1;ABCA1;HES1;BCL6;SGK1;GEM;DUSP1;FOSL1;BIRC3;TNFAIP3;SDC4;NFIL3;IER2;CFLAR;PNRC1;SPHK1;ATF3;FOSL2;FOS;PTGS2;SLC16A6;CDKN1A;TNC;DUSP5;CCNL1;GFPT2;BTG3;IER5;LIF;ZFP36;ICAM1;MARCKS;BIRC2;CXCL1;IRF1;EGR2;ID2;TIPARP;PLK2;RELB;PHLDA1;TNFAIP8;KLF10;NR4A2;FOSB;BCL2A1;PFKFB3;INHBA;YRDC;KLF4;TANK;NFKB1;IL1B;CCL20;MXD1;ACKR3;SQSTM1;TRIP10;IL1A;PLAUR;NFE2L2;MAP2K3;ZC3H12A;NFKBIE
prerank,HALLMARK_HYPOXIA,0.6807046421018984,2.3472425713964973,0.0,0.0,0.0,85/192,5.08%,PLIN2;CCN1;ADM;PPP1R15A;CCN2;CITED2;BHLHE40;SERPINE1;AKAP12;KLF6;MT1E;VEGFA;IRS2;MIF;GBE1;PGK1;SLC2A1;MT2A;GAPDH;MAFF;CAV1;SLC2A3;ENO2;ERO1A;JUN;LDHA;CP;DDIT3;BNIP3L;NDRG1;BTG1;CA12;WSB1;DUSP1;FAM162A;TNFAIP3;SDC4;NFIL3;PIM1;PFKP;SRPX;LOX;PNRC1;RRAGD;TPI1;JMJD6;ATF3;HMOX1;FOSL2;AK4;ERRFI1;FOS;CDKN1A;GLRX;PPP1R3C;PDK1;STC2;SLC6A6;SAP30;MXI1;SIAH2;ENO1;ZFP36;BCL2;MYH9;HSPA5;FOXO3;HK2;KLF7;ALDOA;TIPARP;P4HA1;VLDLR;GPI;CXCR4;RORA;KLHL24;ETS1;DDIT4;ANGPTL4;NOCT;TMEM45A;PFKFB3;ZNF292;GYS1
prerank,HALLMARK_MYC_TARGETS_V1,0.5293059321241872,1.8932456197992582,0.0,0.003679429688398298,0.002,68/195,5.88%,RPL14;RACK1;MYC;RPS6;RPL34;HSP90AB1;PGK1;NPM1;RPS5;PABPC1;LDHA;RSL1D1;NAP1L1;RPS3;EEF1B2;RPS2;HNRNPC;CNBP;HSPE1;RPLP0;RPL18;SERBP1;GNL3;TRA2B;PABPC4;EIF2S2;SET;RPL6;RPL22;IMPDH2;PCBP1;CCT4;TCP1;SRSF1;VDAC1;SMARCC1;FBL;SRSF3;UBE2E1;HNRNPA1;IFRD1;SSB;HDGF;XPO1;RPS10;RAD23B;YWHAE;EIF4A1;DHX15;DDX21;PA2G4;EIF3J;NOP16;ABCE1;EIF3D;DEK;SNRPB2;HDAC2;EIF4H;ETF1;AP3S1;SYNCRIP;NDUFAB1;HSPD1;KPNB1;UBA2;POLE3;HNRNPU
prerank,HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.613853733240484,-1.5294381788874016,0.0,0.018046325980340124,0.024,59/96,25.77%,CD74;LGALS3BP;BST2;CNP;UBA7;TXNIP;STAT2;IFITM1;IFITM3;IFI27;LAP3;CD47;ADAR;CMTR1;PSMB9;IRF7;TAP1;LPAR6;LY6E;PARP14;TRAFD1;UBE2L6;IFI44;SAMD9L;PARP9;ISG15;IFITM2;IFI35;PSME2;MVB12A;MOV10;DHX58;PROCR;IRF9;OGFR;RNF31;OAS1;EIF2AK2;HLA-C;NMI;PSMB8;PSME1;TRIM25;HERC6;MX1;IRF2;TRIM26;HELZ2;CASP1;TRIM5;PARP12;PNPT1;NUB1;TRIM14;IFIT3;C1S;GBP4;CASP8;B2M
prerank,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.5766847818735901,-1.5219702835757434,0.0,0.011910575147024479,0.032,121/200,23.06%,COX6C;UQCR11;COX5B;UQCRQ;LDHB;NDUFC2;ATP5MF;NDUFB1;NDUFB2;NDUFA3;GLUD1;CYB5R3;ATP5F1E;NDUFB7;ATP5MC1;DECR1;NDUFS8;ATP1B1;BDH2;ATP5MG;ATP6V0B;SLC25A6;COX6A1;HSD17B10;OGDH;ECI1;IDH1;RETSAT;UQCR10;ATP5F1B;ECHS1;ECH1;FH;GOT2;ATP5MC3;TIMM13;IDH3G;NDUFS3;NDUFS6;NDUFA2;ATP5F1D;CYC1;ACO2;NDUFS7;IDH2;NDUFA4;ACAT1;ETFB;SDHC;SLC25A11;NDUFA7;ATP5F1C;FDX1;MGST3;POR;PRDX3;HTRA2;NDUFS2;MRPS12;NDUFB8;ACADVL;PDHB;COX7A2;NDUFA1;RHOT2;VDAC3;BAX;MRPS11;ATP5PD;MAOB;NNT;OXA1L;DLAT;ACADM;NDUFS1;MDH2;NDUFB3;AIFM1;MRPL15;POLR2F;TCIRG1;OAT;NDUFA8;NDUFV1;SUCLA2;MRPL35;COX8A;ETFA;TIMM10;MRPL34;COX7C;NQO2;ALDH6A1;HADHA;NDUFA6;SLC25A12;CS;DLD;PHYH;IMMT;COX7B;ATP5PF;BCKDHA;COX6B1;ACAA1;HADHB;TOMM22;MRPL11;NDUFB6;SLC25A4;PHB2;COX5A;TIMM50;TIMM8B;ACAA2;CPT1A;UQCRC1;SURF1;IDH3A;CASP7;SLC25A20
prerank,HALLMARK_COAGULATION,-0.5621718460661577,-1.4419519446425624,0.0010482180293501049,0.03007720996723353,0.114,39/118,9.79%,HTRA1;SPARC;CLU;A2M;GSN;C3;VWF;F3;FN1;C1QA;CAPN5;PLAT;LRP1;CFH;PECAM1;S100A13;GNB2;CSRP1;SERPING1;FURIN;CFB;FYN;DUSP6;CFI;CRIP2;P2RY1;MSRB2;CD9;CTSO;ADAM9;LGMN;BMP1;MMP2;ITGA2;TIMP3;APOC2;FBN1;PRSS23;CPQ
prerank,HALLMARK_BILE_ACID_METABOLISM,-0.5642295233483384,-1.4221938167391246,0.004282655246252677,0.03158107046559521,0.16,47/100,20.88%,RBP1;FADS2;SLC35B2;PIPOX;CROT;GSTK1;ABCA8;SOD1;ABCA3;PFKM;FADS1;SLC23A2;IDH1;RETSAT;SCP2;ABCD3;ALDH9A1;DHCR24;BBOX1;IDH2;HSD17B4;PEX16;PXMP2;FDXR;CYP27A1;ALDH1A1;EPHX2;ABCA2;EFHC1;PEX12;SLC27A5;SLC22A18;IDI1;PRDX5;HSD17B11;SLC29A1;PHYH;TFCP2L1;PEX6;ATXN1;PEX1;ABCD1;AMACR;HSD17B6;PEX19;PEX26;NUDT12
prerank,HALLMARK_UV_RESPONSE_DN,0.4065520727519621,1.4199917585465562,0.0,0.0758882373232149,0.053,30/144,4.59%,CCN1;CITED2;BHLHE40;SERPINE1;MYC;MT1E;RND3;CAV1;DUSP1;INSIG1;IGFBP5;GJA1;RBPMS;LTBP1;NRP1;PMP22;PHF3;SYNE1;DAB2;DLG1;MAP1B;TFPI;YTHDC1;VLDLR;BDNF;DLC1;CELF2;KCNMA1;CDON;RGS4
prerank,HALLMARK_ADIPOGENESIS,-0.536913295483266,-1.4104742779960313,0.0,0.03132842190187045,0.197,117/196,21.21%,C3;APLP2;RAB34;COL4A1;PHLDB1;UQCR11;UQCRQ;RTN3;LIFR;LPL;CD151;ALDH2;ACOX1;REEP5;GPAM;SLC27A1;NDUFB7;ITGA7;SORBS1;SPARCL1;DECR1;PFKL;SOD1;TALDO1;TST;SULT1A1;COX6A1;PDCD4;AGPAT3;APOE;QDPR;PPM1B;IDH1;CD302;RETSAT;HSPB8;UQCR10;GPAT4;ABCB8;SCP2;DGAT1;STOM;ECHS1;ADIPOR2;ECH1;PREB;DHCR7;LPCAT3;IDH3G;NDUFS3;CDKN2C;CYC1;DNAJC15;SLC25A1;ACO2;ETFB;LAMA4;SDHC;MGST3;POR;PRDX3;ATP1B3;RMDN3;HADH;ANGPT1;G3BP2;SLC66A3;SCARB1;MTCH2;PEMT;DHRS7;ADCY6;SAMM50;CMBL;DHRS7B;ELMOD3;REEP6;DLAT;ACADM;LTC4S;MDH2;ITIH5;EPHX2;CHCHD10;COQ9;SSPN;AIFM1;MRPL15;SLC19A1;COL15A1;ELOVL6;COX8A;PTCD3;ESYT1;CS;DLD;PHYH;IMMT;CPT2;ACLY;BAZ2A;COX7B;YWHAG;ATL2;BCKDHA;FZD4;SLC5A6;SLC1A5;BCL2L13;MIGA2;HIBCH;CMPK1;ARL4A;RREB1;MCCC1;ACAA2;ENPP2
prerank,HALLMARK_P53_PATHWAY,0.3985218819507125,1.3937931797922674,0.0,0.0739565367368058,0.062,42/193,4.57%,PPP1R15A;GADD45A;RACK1;UPP1;RPS12;SLC3A2;NUPR1;JUN;DDIT3;NDRG1;BTG1;RPL36;PLK3;ZFP36L1;FAM162A;IP6K2;RPL18;S100A10;SPHK1;CTSD;ATF3;HMOX1;FOS;CDKN1A;BAIAP2;IER5;LIF;FOXO3;STEAP3;TRIB3;MKNK2;RPS27L;RRAD;ZBTB16;MDM2;PLK2;SLC19A2;FAS;PVT1;PERP;DDIT4;IFI30
